Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
242,17269,-0.15000000000005276,-1.014000000000024,17.55000000000025,-17.911996841430664,4.217486381530762,3e-05,17269
243,17332,-0.2500000000000533,-1.027500000000029,17.55000000000025,0,4.735204696655273,3e-05,17332
244,17420,-0.5500000000000878,-1.0165000000000297,17.55000000000025,0,4.395312309265137,3e-05,17420
245,17500,-1.9500000000000774,-1.02650000000003,17.55000000000025,0,4.54477596282959,3e-05,17500
246,17552,-1.9000000000000279,-1.0290000000000303,17.55000000000025,0,3.9888572692871094,3e-05,17552
247,17628,3.949999999999938,-0.9685000000000301,17.55000000000025,0,4.576694488525391,3e-05,17628
248,17691,-0.25000000000004974,-0.9720000000000303,17.55000000000025,-17.74639892578125,4.362555503845215,3e-05,17691
249,17748,-1.3000000000000478,-0.9625000000000306,17.55000000000025,0,4.169271469116211,3e-05,17748
250,17800,-1.9000000000000234,-0.9425000000000301,17.55000000000025,0,4.288475036621094,3e-05,17800
251,17862,-0.1500000000000492,-0.9160000000000297,17.55000000000025,0,4.760223388671875,3e-05,17862
252,17921,-0.9500000000000499,-0.9030000000000303,17.55000000000025,-17.76569175720215,4.195552825927734,3e-05,17921
253,17981,-0.5000000000000506,-0.8715000000000296,17.55000000000025,-17.580135345458984,3.902623176574707,3e-05,17981
254,18046,0.09999999999994547,-0.8680000000000294,17.55000000000025,0,4.404392242431641,3e-05,18046
255,18103,-1.3000000000000433,-0.8645000000000295,17.55000000000025,-18.026363372802734,4.470544815063477,3e-05,18103
256,18158,-1.6500000000000457,-0.8525000000000291,17.55000000000025,0,4.6267194747924805,3e-05,18158
257,18212,-1.5500000000000442,-0.8795000000000289,17.55000000000025,0,4.1984405517578125,3e-05,18212
258,18294,-1.0500000000000798,-0.8805000000000293,17.55000000000025,0,4.116559982299805,3e-05,18294
259,18382,-3.300000000000095,-0.9265000000000301,17.55000000000025,0,4.299796104431152,3e-05,18382
260,18454,2.1499999999999453,-0.8850000000000305,17.55000000000025,0,4.259885787963867,3e-05,18454
261,18529,1.849999999999933,-0.846500000000031,17.55000000000025,-17.878902435302734,4.086784362792969,3e-05,18529
262,18584,-1.6500000000000323,-0.8655000000000306,17.55000000000025,0,4.721431255340576,3e-05,18584
263,18653,1.3499999999999401,-0.8355000000000306,17.55000000000025,-17.941987991333008,4.297327518463135,3e-05,18653
264,18742,-3.4000000000000865,-0.850000000000031,17.55000000000025,0,4.098639965057373,3e-05,18742
265,18806,0.1999999999999451,-0.8290000000000316,17.55000000000025,0,4.0771894454956055,3e-05,18806
266,18859,-2.000000000000023,-0.9075000000000337,17.55000000000025,-17.946630477905273,4.221467018127441,3e-05,18859
267,18906,-2.499999999999984,-0.9075000000000337,17.55000000000025,0,4.963949680328369,3e-05,18906
268,18970,0.1999999999999451,-0.8900000000000337,17.55000000000025,0,4.476644515991211,3e-05,18970
269,19042,1.5999999999999366,-0.8515000000000343,17.55000000000025,0,4.420645236968994,3e-05,19042
270,19089,-2.499999999999984,-0.861000000000034,17.55000000000025,-17.982479095458984,4.7000813484191895,3e-05,19089
271,19146,-1.3000000000000478,-0.8635000000000339,17.55000000000025,0,4.322294235229492,3e-05,19146
272,19199,-2.000000000000024,-0.9015000000000336,17.55000000000025,-17.777881622314453,4.966009140014648,3e-05,19199
273,19256,-1.3000000000000442,-0.8955000000000336,17.55000000000025,0,4.985200881958008,3e-05,19256
274,19338,4.450000000000177,-0.8390000000000315,17.55000000000025,0,4.479658126831055,3e-05,19338
275,19394,-1.750000000000047,-0.8620000000000313,17.55000000000025,0,4.994018077850342,3e-05,19394
276,19456,-0.700000000000049,-0.8595000000000311,17.55000000000025,0,4.668183326721191,3e-05,19456
277,19536,1.3499999999999304,-0.8845000000000326,17.55000000000025,0,4.391366958618164,3e-05,19536
278,19598,-0.15000000000005276,-0.8670000000000327,17.55000000000025,0,4.431245803833008,3e-05,19598
279,19650,-1.9000000000000234,-0.8695000000000326,17.55000000000025,0,4.697571277618408,3e-05,19650
280,19722,2.149999999999941,-0.8775000000000326,17.55000000000025,0,4.348404884338379,3e-05,19722
281,19774,-1.9000000000000101,-0.857500000000032,17.55000000000025,0,4.344720840454102,3e-05,19774
282,19851,-2.2000000000000677,-0.8815000000000321,17.55000000000025,-17.729135513305664,4.769445419311523,3e-05,19851
283,19910,-0.9500000000000499,-0.8755000000000327,17.55000000000025,0,4.506319046020508,3e-05,19910
284,19962,-1.899999999999996,-0.9030000000000318,17.55000000000025,0,4.481649398803711,3e-05,19962
